Código del organismo;Nombre del organismo;Año informado;Trimestre informado;Requisitos de Afiliación;Procedimientos de afiliación;Link mayor información;Número total de afiliados
PP034;Partido Federación Regionalista Verde Social (FREVS);2018;Abr - Jun;Para incorporarse a nuestra coletividad, debe cumplir con los siguientes requisitos:1. Ser mayor de Edad 2. Encontrarse habilitado para sufragar 3. No haber sido sancionado o condenado por algún delito;El ingreso debe ser patrocinado por un afiliado al Partido y se hará ante la Directiva Comunal donde tenga su domicilio el interesado y si ésta no se encontrare constituida, ante la Directiva Provincial. En subsidio de las anteriores, se hará ante el Secretario General de la Directiva Central que será responsable del Registro de Afiliados. Dentro de los treinta días de suscrita una afiliación el Secretario General del partido podrá rechazarla por motivos fundados, por medio de una resolución escrita que expresará los motivos del rechazo y que le será notificada personalmente al interesado.;https://www.federacionregionalistaverdesocial.cl;3360
PP034;Partido Federación Regionalista Verde Social (FREVS);2018;Ene - Mar;Para incorporarse a nuestra coletividad, debe cumplir con los siguientes requisitos:1. Ser mayor de Edad 2. Encontrarse habilitado para sufragar 3. No haber sido sancionado o condenado por algún delito;El ingreso debe ser patrocinado por un afiliado al Partido y se hará ante la Directiva Comunal donde tenga su domicilio el interesado y si ésta no se encontrare constituida, ante la Directiva Provincial. En subsidio de las anteriores, se hará ante el Secretario General de la Directiva Central que será responsable del Registro de Afiliados. Dentro de los treinta días de suscrita una afiliación el Secretario General del partido podrá rechazarla por motivos fundados, por medio de una resolución escrita que expresará los motivos del rechazo y que le será notificada personalmente al interesado.;https://www.federacionregionalistaverdesocial.cl;3363
PP034;Partido Federación Regionalista Verde Social (FREVS);2017;Oct - Dic;Para incorporarse a nuestra coletividad, debe cumplir con los siguientes requisitos:1. Ser mayor de Edad 2. Encontrarse habilitado para sufragar 3. No haber sido sancionado o condenado por algún delito;El ingreso debe ser patrocinado por un afiliado al Partido y se hará ante la Directiva Comunal donde tenga su domicilio el interesado y si ésta no se encontrare constituida, ante la Directiva Provincial. En subsidio de las anteriores, se hará ante el Secretario General de la Directiva Central que será responsable del Registro de Afiliados. Dentro de los treinta días de suscrita una afiliación el Secretario General del partido podrá rechazarla por motivos fundados, por medio de una resolución escrita que expresará los motivos del rechazo y que le será notificada personalmente al interesado.;https://www.federacionregionalistaverdesocial.cl;3381
PP034;Partido Federación Regionalista Verde Social (FREVS);2017;Jul - Sep;Para incorporarse a nuestra coletividad, debe cumplir con los siguientes requisitos:1. Ser mayor de Edad 2. Encontrarse habilitado para sufragar 3. No haber sido sancionado o condenado por algún delito;El ingreso debe ser patrocinado por un afiliado al Partido y se hará ante la Directiva Comunal donde tenga su domicilio el interesado y si ésta no se encontrare constituida, ante la Directiva Provincial. En subsidio de las anteriores, se hará ante el Secretario General de la Directiva Central que será responsable del Registro de Afiliados. Dentro de los treinta días de suscrita una afiliación el Secretario General del partido podrá rechazarla por motivos fundados, por medio de una resolución escrita que expresará los motivos del rechazo y que le será notificada personalmente al interesado.;https://www.federacionregionalistaverdesocial.cl;3.418
PP039;Partido Igualdad ](PI);2019;Abr - Jun;Los requisitos para ser afiliado del partido Igualdad es ser mayor de edad, compartir los principios del partido, estar dispuesto a regirse por los estatutos del partido, estar habilitados para sufragar y haber suscrito los registros respectivos de la organización.;El procedimiento para las nuevas afiliaciones es solicitar el ingreso al partido a través de cualquiera de los afiliados o a través del sistema electrónico dispuesto por el SERVEL, para posteriormente ser entregada la ficha y proceder a su afiliación previa aprobación y firma del Presidente y Secretaria General del partido.;http://partidoigualdad.cl/;18.519
PP046;Partido Pais;2017;Jul - Sep;Son afiliados del partido los ciudadanos habilitados para sufragar que compartan la Declaración de Principios del Partido y que se afilien a l mediante la inscripción en los Registros del Partido. Requisitos: Ser mayor de edad, no estar afiliado a un partido político, cdula de identidad vigente;Las solicitudes de ingreso al Partido se podr n presentar ante la Directiva Nacional, Regional o Comunal, en este último caso, correspondiente al domicilio del interesado, a dicha solicitud se deber  acompañar certificado de no militancia entregada por el Servicio Electoral y una declaración simple de no contar con antecedentes penales que lo inhiban del libre ejercicio de sus derechos ciudadanos;http://www.partidopais.cl/;36.956
PP046;Partido Pais;2017;Oct - Dic;Son afiliados del partido los ciudadanos habilitados para sufragar que compartan la Declaración de Principios del Partido y que se afilien a l mediante la inscripción en los Registros del Partido. Requisitos: Ser mayor de edad, no estar afiliado a un partido político, cdula de identidad vigente;Las solicitudes de ingreso al Partido se podr n presentar ante la Directiva Nacional, Regional o Comunal, en este último caso, correspondiente al domicilio del interesado, a dicha solicitud se deber  acompañar certificado de no militancia entregada por el Servicio Electoral y una declaración simple de no contar con antecedentes penales que lo inhiban del libre ejercicio de sus derechos ciudadanos;http://www.partidopais.cl/;36.487
PP046;Partido Pais;2018;Ene - Mar;Son afiliados del partido los ciudadanos habilitados para sufragar que compartan la Declaración de Principios del Partido y que se afilien a l mediante la inscripción en los Registros del Partido. Requisitos: Ser mayor de edad, no estar afiliado a un partido político, cdula de identidad vigente;Las solicitudes de ingreso al Partido se podr n presentar ante la Directiva Nacional, Regional o Comunal, en este último caso, correspondiente al domicilio del interesado, a dicha solicitud se deber  acompañar certificado de no militancia entregada por el Servicio Electoral y una declaración simple de no contar con antecedentes penales que lo inhiban del libre ejercicio de sus derechos ciudadanos;http://www.partidopais.cl/;36.218
PP046;Partido Pais;2018;Abr - Jun;Son afiliados del partido los ciudadanos habilitados para sufragar que compartan la Declaración de Principios del Partido y que se afilien a l mediante la inscripción en los Registros del Partido. Requisitos: Ser mayor de edad, no estar afiliado a un partido político, cdula de identidad vigente;Las solicitudes de ingreso al Partido se podr n presentar ante la Directiva Nacional, Regional o Comunal, en este último caso, correspondiente al domicilio del interesado, a dicha solicitud se deber  acompañar certificado de no militancia entregada por el Servicio Electoral y una declaración simple de no contar con antecedentes penales que lo inhiban del libre ejercicio de sus derechos ciudadanos;http://www.partidopais.cl/;36.218
PP047;Partido de Trabajadores Revolucionarios;2017;Oct - Dic;Para ser afiliado al partido se requiere: a) Las personas que tengan la calidad de ciudadanos de cualquier sexo mayores de dieciocho anos; b) Que estan habilitados para sufragar y que hayan suscrito los registros respectivos de la organizacion; c) No estar afiliado o militando en ningun otro partido politico; d) Suscribir la declaracion de principios del partido;Para llevar a cabo su afiliacion, debe realizar los siguientes pasos: 1. Completar la solicitud de Ingreso y remitirla a la respectiva Directiva Regional 2. Una vez que el solicitante haya suscrito la solicitud de ingreso, el respectivo organismo debera fallar en conformidad a los estatutos del partido en un plazo no mayor a 40 dias habiles;https://www.ptr.cl;1.784
PP047;Partido de Trabajadores Revolucionarios;2017;Jul - Sep;Para ser afiliado al partido se requiere: a) Las personas que tengan la calidad de ciudadanos de cualquier sexo mayores de dieciocho anos; b) Que estan habilitados para sufragar y que hayan suscrito los registros respectivos de la organizacion; c) No estar afiliado o militando en ningun otro partido politico; d) Suscribir la declaracion de principios del partido;Para llevar a cabo su afiliacion, debe realizar los siguientes pasos: 1. Completar la solicitud de Ingreso y remitirla a la respectiva Directiva Regional 2. Una vez que el solicitante haya suscrito la solicitud de ingreso, el respectivo organismo debera fallar en conformidad a los estatutos del partido en un plazo no mayor a 40 dias habiles;https://www.ptr.cl;1.503
PP047;Partido de Trabajadores Revolucionarios;2017;Abr - Jun;Para ser afiliado al partido se requiere: a) Las personas que tengan la calidad de ciudadanos de cualquier sexo mayores de dieciocho anos; b) Que estan habilitados para sufragar y que hayan suscrito los registros respectivos de la organizacion; c) No estar afiliado o militando en ningun otro partido politico; d) Suscribir la declaracion de principios del partido;Para llevar a cabo su afiliacion, debe realizar los siguientes pasos: 1. Completar la solicitud de Ingreso y remitirla a la respectiva Directiva Regional 2. Una vez que el solicitante haya suscrito la solicitud de ingreso, el respectivo organismo debera fallar en conformidad a los estatutos del partido en un plazo no mayor a 40 dias habiles;https://www.ptr.cl;1.504
PP049;Partido ANDHA Chile;2018;Ene - Mar;Para incorporarse a nuestra coletividad, debe cumplir con los siguientes requisitos:1. Ser mayor de Edad 2. Encontrarse habilitado para sufragar 3. No haber sido sancionado o condenado por algún delito 4. No poseer deudas con el fisco;Para llevar a cabo su afiliación, debe realizar los siguientes pasos: 1. Asistir con su carnet de identidad a nuestra sede en su Región 2. Completar la solicitud de Ingreso 3. Una vez que el solicitante haya suscrito la solicitud de ingreso, ésta se mantendrá en suspenso por el lapso de un año ininterrumpido;https://www.partidoandhachile.cl;4.333
PP052;Partido Pais Progresista;2018;Oct - Dic;Para incorporarse a nuestro partido se debe cumplir con los siguientes requisitos:<br>1. Ser mayor de Edad<br>2. Encontrarse habilitado para sufragar<br>3. Haber presentado la solicitud de afiliación a la Directiva Central<br>4. Adherir a los principios y Estatutos del Partido;Para llevar a cabo su afiliación, debe realizar los siguientes pasos:<br>1. Completar la ficha de inscripción.<br>2. Entregar la ficha a un militante del partido y éste a su vez debe presentarla a la directiva central.;http://progresistas.cl/marco-normativo/;89.441
PP052;Partido Pais Progresista;2018;Jul - Sep;Para incorporarse a nuestro partido se debe cumplir con los siguientes requisitos:<br>1. Ser mayor de Edad<br>2. Encontrarse habilitado para sufragar<br>3. Haber presentado la solicitud de afiliación a la Directiva Central<br>4. Adherir a los principios y Estatutos del Partido;Para llevar a cabo su afiliación, debe realizar los siguientes pasos:<br>1. Completar la ficha de inscripción.<br>2. Entregar la ficha a un militante del partido y éste a su vez debe presentarla a la directiva central.;http://progresistas.cl/marco-normativo/;89.718
PP052;Partido Pais Progresista;2018;Abr - Jun;Para incorporarse a nuestro partido se debe cumplir con los siguientes requisitos:<br>1. Ser mayor de Edad<br>2. Encontrarse habilitado para sufragar<br>3. Haber presentado la solicitud de afiliación a la Directiva Central<br>4. Adherir a los principios y Estatutos del Partido;Para llevar a cabo su afiliación, debe realizar los siguientes pasos:<br>1. Completar la ficha de inscripción.<br>2. Entregar la ficha a un militante del partido y éste a su vez debe presentarla a la directiva central.;http://progresistas.cl/marco-normativo/;90.292
PP052;Partido Pais Progresista;2019;Abr - Jun;Para incorporarse a nuestro partido se debe cumplir con los siguientes requisitos:<br>1. Ser mayor de Edad<br>2. Encontrarse habilitado para sufragar<br>3. Haber presentado la solicitud de afiliación a la Directiva Central<br>4. Adherir a los principios y Estatutos del Partido;Para llevar a cabo su afiliación, debe realizar los siguientes pasos:<br>1. Completar la ficha de inscripción.<br>2. Entregar la ficha a un militante del partido y éste a su vez debe presentarla a la directiva central.;http://progresistas.cl/marco-normativo/;63.656
PP052;Partido Pais Progresista;2018;Oct - Dic;Para incorporarse a nuestro partido se debe cumplir con los siguientes requisitos:<br>1. Ser mayor de Edad<br>2. Encontrarse habilitado para sufragar<br>3. Haber presentado la solicitud de afiliación a la Directiva Central<br>4. Adherir a los principios y Estatutos del Partido;Para llevar a cabo su afiliación, debe realizar los siguientes pasos:<br>1. Completar la ficha de inscripción.<br>2. Entregar la ficha a un militante del partido y éste a su vez debe presentarla a la directiva central.;http://progresistas.cl/marco-normativo/;89.117
PP053;Partido Izquierda Anticapitalista de los Trabajadores (IAT);2019;Ene - Mar;Para ser afiliado al partido se requiere: a) Tener la calidad de ciudadano mayor de dieciocho años; b) Que estén habilitados para sufragar y que hayan suscrito los registros respectivos de la organización; c) No estar afiliado o militando en ningún otro partido político; d) Suscribir la declaración de principios del partido.;El ingreso se hará ante la Directiva Regional donde tenga su domicilio el interesado y si ésta no se encontrare constituida se hará ante el Secretario General de la Directiva Central que será responsable del Registro de Afiliados. Dentro de los treinta días de suscrita una afiliación el Secretario General del partido podrá rechazarla por motivos fundados, por medio de una resolución escrita que expresará los motivos del rechazo y que le será notificada personalmente al interesado.;https://iatchile.wordpress.com/;2.606
PP053;Partido Izquierda Anticapitalista de los Trabajadores (IAT);2018;Abr - Jun;Para ser afiliado al partido se requiere: a) Tener la calidad de ciudadano mayor de dieciocho años; b) Que estén habilitados para sufragar y que hayan suscrito los registros respectivos de la organización; c) No estar afiliado o militando en ningún otro partido político; d) Suscribir la declaración de principios del partido.;El ingreso se hará ante la Directiva Regional donde tenga su domicilio el interesado y si ésta no se encontrare constituida se hará ante el Secretario General de la Directiva Central que será responsable del Registro de Afiliados. Dentro de los treinta días de suscrita una afiliación el Secretario General del partido podrá rechazarla por motivos fundados, por medio de una resolución escrita que expresará los motivos del rechazo y que le será notificada personalmente al interesado.;https://iatchile.wordpress.com/;2.606
PP053;Partido Izquierda Anticapitalista de los Trabajadores (IAT);2018;Jul - Sep;Para ser afiliado al partido se requiere: a) Tener la calidad de ciudadano mayor de dieciocho años; b) Que estén habilitados para sufragar y que hayan suscrito los registros respectivos de la organización; c) No estar afiliado o militando en ningún otro partido político; d) Suscribir la declaración de principios del partido.;El ingreso se hará ante la Directiva Regional donde tenga su domicilio el interesado y si ésta no se encontrare constituida se hará ante el Secretario General de la Directiva Central que será responsable del Registro de Afiliados. Dentro de los treinta días de suscrita una afiliación el Secretario General del partido podrá rechazarla por motivos fundados, por medio de una resolución escrita que expresará los motivos del rechazo y que le será notificada personalmente al interesado.;https://iatchile.wordpress.com/;2.606
PP053;Partido Izquierda Anticapitalista de los Trabajadores (IAT);2018;Oct - Dic;Para ser afiliado al partido se requiere: a) Tener la calidad de ciudadano mayor de dieciocho años; b) Que estén habilitados para sufragar y que hayan suscrito los registros respectivos de la organización; c) No estar afiliado o militando en ningún otro partido político; d) Suscribir la declaración de principios del partido.;El ingreso se hará ante la Directiva Regional donde tenga su domicilio el interesado y si ésta no se encontrare constituida se hará ante el Secretario General de la Directiva Central que será responsable del Registro de Afiliados. Dentro de los treinta días de suscrita una afiliación el Secretario General del partido podrá rechazarla por motivos fundados, por medio de una resolución escrita que expresará los motivos del rechazo y que le será notificada personalmente al interesado.;https://iatchile.wordpress.com/;2.606
