Código del organismo;Nombre del organismo;Año informado;Trimestre informado;Unidades u órganos internos;Facultades, funciones y atribuciones
PP033;Partido Amplitud;<br>2017;Oct - Dic;Consejo General;El Consejo General es el Órgano Intermedio Colegiado del partido y, en consecuencia, posee carácter normativo y resolutivo. Estará integrado por Consejeros Generales elegidos por los Consejos Regionales. El número de Consejeros Generales que corresponda elegir a cada Consejo Regional será determinado por un reglamento interno. Podrán asistir a sus sesiones, sólo con derecho a voz, los integrantes de la Directiva Central, el Comité Político y el Tribunal Supremo, los Presidentes Regionales y los Senadores, Diputados, Consejeros Regionales de los Gobiernos Regionales, Alcaldes y Concejales afiliados a Amplitud. También podrán ser invitados con derecho a voz los afiliados que determine la Directiva Central. Será presidido por el Presidente del partido. Actuará como ministro de fe y secretario de actas el Prosecretario del partido. Son funciones del Consejo General: a) Impartir orientaciones a la Directiva Central y demás órganos del partido y adoptar acuerdos sobre cualquier aspecto de la marcha de éste. b) Impartir orientaciones sobre las políticas públicas relevantes para el partido y el país. c) Proponer a los afiliados, por las tres quintas partes de los miembros presentes, las modificaciones a la declaración de principios y los estatutos, la disolución del partido y su fusión con otro. d) Aprobar los programas partidarios, reglamentos internos y pactos electorales, así como las modificaciones a ellos y al nombre del partido, siempre a proposición de la Directiva Central. e) Aprobar la creación de Comités de Ámbitos Temáticos, a proposición de la Directiva Central o de un treinta por ciento de los Consejeros Generales. f) Recibir anualmente la cuenta política de la Directiva Central y pronunciarse sobre ella. g) Aprobar o rechazar el balance anual. h) Elegir a los miembros del Comité Político que corresponda y a los integrantes del Tribunal Supremo. i) Adoptar la decisión de participar en elecciones primarias para escoger candidatos a Presidente de la República, Senadores, Diputados y Alcaldes, como asimismo la modalidad de ellas, y nominar a los candidatos que podrán competir en dichas elecciones, a propuesta de la Directiva Central o de un 10% de los Consejeros Generales en el caso del Presidente de la República, y de la Directiva Central o de los Consejos Regionales en los demás casos. j) Nominar, en los casos en que no opte por la realización de elecciones primarias, a los candidatos a Presidente de la República, Senadores, Diputados y Alcaldes y, en todo caso, a los candidatos a Consejeros Regionales y a Concejales. k) Las demás que le asignen las leyes y los estatutos. El Consejo General celebrará sesiones ordinarias una vez al año. Además, podrá ser convocado a sesiones extraordinarias por la Directiva Central o a requerimiento de a lo menos un treinta por ciento de los Consejeros Generales.
PP033;Partido Amplitud;<br>2017;Oct - Dic;Comité Político;El Comité Político es un órgano asesor de la Directiva Central. Estará compuesto por la Directiva Central, el jefe de bancada de los Senadores afiliados a Amplitud, el jefe de bancada de los Diputados afiliados a Amplitud, un representantes de los Consejeros Regionales de los Gobiernos Regionales afiliados a Amplitud, un representante de los Alcaldes afiliados a Amplitud, un representante de los Concejales afiliados a Amplitud, un representante de los Presidentes Regionales del partido, los últimos tres ex Presidentes de Partido, el Presidente del Tribunal Supremo y quince miembros electos en votación secreta por el Consejo General cada dos años. Podrán asistir a sus sesiones sólo con derecho a voz los demás parlamentarios afiliados a Amplitud, el Prosecretario de la Directiva Central, los demás miembros del Tribunal Supremo, los Presidentes de los Comités de Ámbitos Temáticos y las personas invitadas por la Directiva Central o el propio Comité Político. Será presidido por el Presidente del partido. Deberá reunirse a lo menos una vez al mes, pudiendo fijar un receso de hasta un mes por una vez en el año. Son funciones del Comité Político: a) Asesorar y apoyar a la Directiva Central. b) Conocer y resolver las materias que sean sometidas a su consideración por la Directiva Central. c) Formular definiciones programáticas en conformidad al programa del partido aprobado por el Consejo General y a las orientaciones impartidas por éste. d) Velar por el cumplimiento de los acuerdos del Consejo General. e) Elegir a los integrantes del Comité de Elecciones a propuesta de la Directiva Central. f) Las demás que le encomienden los estatutos, los reglamentos internos y el Consejo General. En ningún caso podrá asumir el Comité Político funciones propias del Consejo General, las que son indelegables.
PP033;Partido Amplitud;<br>2017;Oct - Dic;Tribunal Supremo;El Tribunal Supremo es el órgano jurisdiccional superior del partido. Estará conformado por cinco miembros elegidos por el Consejo General en votación secreta, que permanecerán tres años en sus cargos, durante los cuales no podrán ejercer ningún otro cargo en el partido, con la única excepción de la participación de su Presidente en el Comité Político. Sus miembros elegirán entre ellos un Presidente, un Vicepresidente y un Secretario. Este último será de preferencia abogado. Los restantes dos integrantes tendrán la calidad de jueces del Tribunal Supremo. El Tribunal deberá adoptar sus decisiones por la mayoría de sus miembros en ejercicio, salvo aquellos casos en que la ley o los estatutos exijan un quórum superior. Son funciones del Tribunal Supremo: a) Interpretar los estatutos y los reglamentos y demás normas internas. b) Conocer de las cuestiones de competencia que se susciten entre autoridades u órganos del partido. c) Conocer de las reclamaciones contra actos u omisiones que vulneren los derechos de los afiliados y adherentes y, en general, velar y garantizar el ejercicio de los mismos. d) Conocer de las denuncias que se formulen contra afiliados o adherentes al partido, sean o no autoridades de él, por actos de indisciplina o violatorios de la declaración de principios o de los estatutos, o por conductas indebidas que constituyan faltas a la ética o comprometan los intereses o el prestigio del partido.e) Conocer de las reclamaciones contra actos de autoridades u órganos del partido que sean contrarios a la ley, la declaración de principios o los estatutos, y adoptar las medidas para corregirlos y enmendar sus resultados o dejarlos sin efecto. f) Aplicar las medidas disciplinarias previstas en estos estatutos. g) Conocer de los reclamos por el rechazo de una solicitud de afiliación o la falta de resolución oportuna sobre ella. h) Conocer de las reclamaciones por no inclusión en el Registro de Afiliados. i) Controlar el correcto desarrollo de las elecciones y votaciones internas, y dictar las instrucciones generales o particulares que para tal efecto correspondan. j) Realizar el escrutinio general de las elecciones y votaciones internas para cargos de nivel nacional, calificarlas y pronunciarse sobre las reclamaciones que los afliados con derecho a participar en ellas formulen en relación a las mismas por escrito dentro de los cinco días hábiles posteriores al respectivo escrutinio. k) Resolver, como tribunal de segunda instancia, las apelaciones a los fallos y decisiones de los Tribunales Regionales. l) Las demás que le encomienden las leyes, los estatutos y los reglamentos internos. El procedimiento seguido por el Tribunal Supremo se ajustará estrictamente al principio constitucional del debido proceso. En consecuencia, contará con una etapa de discusión, en la que todos los interesados tendrán la oportunidad de ser oídos, como asimismo un período probatorio, en que tendrán la oportunidad de rendir todas las pruebas pertinentes, las que el Tribunal apreciará en sus fallos conforme a las reglas de la sana crítica. Las notificaciones se realizarán por medio de correos electrónicos. Sus fallos no admitirán recurso alguno, salvo en los casos en que la ley o los estatutos dispongan algo diferente. El Tribunal Supremo puede aplicar las siguientes sanciones: a) Amonestación por escrito. b) Multa a beneficio del partido. c) Inhabilidad para ocupar cargos directivos. d) Suspensión o remoción de los cargos que ostente. e) Suspensión de hasta cinco años de los derechos de afiliado.f) Expulsión del Partido. Los miembros del Tribunal Supremo deberán inhabilitarse o podrán ser recusados para el conocimiento de algún asunto en los siguientes casos: a) Estar ligado por parentesco por consanguinidad o afinidad hasta el cuarto grado, matrimonio, acuerdo de unión civil o adopción con cualquiera de los involucrados en el asunto. b) Tener amistad intima o enemistad manifiesta con cualquiera de las partes. c) Tener una relación laboral con cualquiera de ellas. d) Haber tenido participación directa en los hechos que motivaron la causa o directo interés en su resultado. e) Haber emitido públicamente opinión sobre la causa, con conocimiento de los antecedentes para emitir sentencia. La recusación deberá ser aprobada o rechazada por el Comité Político.
PP033;Partido Amplitud;<br>2017;Oct - Dic;Tribunales Regionales;En cada una de las regiones en las que Amplitud esté legalmente constituido existirá un Tribunal Regional, conformado por tres miembros elegidos por el Consejo Regional correspondiente en votación secreta, que permanecerán tres años en sus cargos, durante los cuales no podrán ejercer ningún otro cargo en el partido. Sus miembros elegirán entre ellos un Presidente, un Vicepresidente y un Secretario. El Tribunal deberá adoptar sus decisiones por la mayoría de sus miembros en ejercicio, salvo aquellos casos en que la ley o los estatutos exijan un quórum superior. Son funciones de los Tribunales Regionales: a) Conocer de las reclamaciones contra actos u omisiones cometidos en la región que vulneren los derechos de los afiliados y adherentes y, en general, velar y garantizar el ejercicio de los mismos. b) Conocer de las denuncias que se formulen contra afiliados o adherentes al partido, sean o no autoridades de él, por actos de indisciplina o violatorios de la declaración de principios o de los estatutos, o por conductas indebidas que constituyan faltas a la ética o comprometan los intereses o el prestigio del partido, que hayan sido cometidos en la región. c) Conocer de las reclamaciones contra actos de autoridades u órganos regionales, distritales o comunales del partido que sean contrarios a la ley, la declaración de principios o los estatutos, y adoptar las medidas para corregirlos y enmendar sus resultados o dejarlos sin efecto. d) Aplicar las medidas disciplinarias previstas en el artículo 30 de estos estatutos en los casos a que se refieren las letras a), b) y e) de este artículo. e) Conocer de los reclamos por el rechazo de una solicitud de afiliación presentada en la región o la falta de resolución oportuna sobre ella. f) Controlar el correcto desarrollo de las elecciones y votaciones internas que tengan lugar en la región y dictar las instrucciones generales o particulares que correspondan para su correcto desarrollo, en consonancia con las impartidas por el Tribunal Supremo. g) Realizar el escrutinio general de las elecciones y votaciones internas para cargos regionales, distritales y comunales, calificarlas y pronunciarse sobre las reclamaciones que los afliados con derecho a participar en ellas formulen en relación a las mismas por escrito dentro de los cinco días hábiles posteriores al respectivo escrutinio. h) Las demás que le encomienden las leyes, los estatutos y los reglamentos internos. Se aplicará a los Tribunales Regionales, en todo lo que sea pertinente, lo dispuesto en los artículos 29 y 31 de los presentes Estatutos. Las recusaciones que se presenten contra un integrante de un Tribunal Regional deberán ser aprobadas o rechazadas por el Tribunal Supremo. Las sentencias de los Tribunales Regionales serán apelables para ante el Tribunal Supremo dentro de los diez hábiles siguientes a su notificación a quien entable el recurso. Si la sentencia definitiva dispone la expulsión de un afiliado, y de ella no se reclamare, se elevará en consulta al Tribunal Supremo.
PP033;Partido Amplitud;<br>2017;Oct - Dic;Directivas Regionales;Las Directivas Regionales serán ejercidas por la directiva del respectivo Consejo Regional, de conformidad a lo dispuesto en el artículo cuarenta y cuatro de estos estatutos; a las que se agregaran un vicepresidente elegido individualmente por los afiliados con domicilio electoral en la respectiva región, podrán como máximo, replicar la composición de la Directiva Central, según lo determine el Reglamento de los Consejos Regionales. Son funciones de las Directivas Regionales: a) Conducir los Consejos Regionales y las actividades que desarrolle el partido en la región. b) Mantener constantemente informados a los afiliados de las distintas actividades que se desarrollen, así como de las resoluciones que tomen los órganos superiores. c) Contribuir a la formación política de los afiliados de la región. d) Convocar a las sesiones del Consejo Regional a lo menos dos veces en el año. e) Recibir solicitudes de afiliación a Amplitud, cuando no exista Directiva Distrital, y resolver sobre ellas y las que le remitan las Directivas Comunales. f) Rendir cuenta al Consejo Regional y al Consejo General de sus labores, a lo menos una vez al año. g) Estudiar los problemas de interés de la región y hacer llegar sus conclusiones a los órganos superiores del partido. h) Poner en conocimiento del Tribunal Supremo las contravenciones de los estatutos o de la declaración de principios de Amplitud. i) Contribuir a la expresión libre de los ciudadanos, al ejercicio de sus libertades y derechos políticos y a su formación cívica. j) Colaborar a requerimiento de las autoridades electas en las labores que éstas desarrollen. k) Las demás que les encomienden los estatutos, los reglamentos internos y los órganos superiores del partido
PP033;Partido Amplitud;<br>2017;Oct - Dic;Consejo Regionales;Los Consejos Regionales estarán integrados a lo menos por un presidente, un secretario y un tesorero elegidos por los afiliados con domicilio electoral en cada región. Se elegirán cada dos años en votación universal, igualitaria y secreta, y mediante listas cerradas de candidatos. Un Reglamento establecerá la cantidad de miembros que podrán ser elegidos para integrarlo en cada Región en que el partido este constituido, el que en todo caso establecerá que la cantidad de Consejeros elegidos cada dos años por los afiliados de la región, será equivalente al uno por ciento del total de ellos, pero que en ningún caso podrán ser menos de cinco. Para ser elegido Consejero regional del partido se requerirá que le domicilio electoral este ubicado en una circunscripción de la región. Podrán asistir a sus sesiones, sólo con derecho a voz, los integrantes de la Directiva Central, y los Senadores, Diputados, Presidentes comunales y distritales, los Consejeros regionales - Core -, Alcaldes y Concejales de la respectiva región afiliados a Amplitud. También podrán ser invitados con derecho a voz los afiliados que determine la Directiva del Consejo Regional. El Reglamento deberá determinar la vacancia y subrogación de los Consejeros Regionales en caso de que se produzca la de alguno de ellos. No obstante, la vacancia o subrogación del Presidente será ejercida por el Secretario; El secretario será reemplazado en caso de vacancia o subrogado por el Tesorero; y el tesorero será subrogado por el secretario. En caso de vacancia del Tesorero se procederá a elegir su reemplazante por los integrantes del Consejo regional. Son funciones de los Consejos Regionales: Fijar orientaciones generales a la Directiva Regional. b) Pronunciarse sobre todos los asuntos que la Directiva Regional someta a su consideración. c) Conocer las rendiciones de cuenta de las Directivas Distritales de la región y de la Directiva Regional. d) Completar y remitir al Comité Electoral las listas de postulantes a candidatos a Diputados, Alcaldes y Concejales recibidas de los Consejos Distritales. e) Aprobar y remitir al Comité Electoral una lista de postulantes a candidatos a Senadores. f) Proponer al Consejo General la decisión de participar en elecciones primarias para escoger candidatos a Senadores, Diputados, Consejeros Regionales, Alcaldes y Concejales, como asimismo la modalidad de ellas y la nominación de los candidatos que podrán competir en dichas elecciones. g) Las demás que les encomienden las leyes, los estatutos, los reglamentos internos y los órganos superiores del partido. El Consejo Regional podrá ser convocado tanto por la Directiva Regional como a requerimiento de a lo menos un treinta por ciento de los Consejeros Regionales
PP033;Partido Amplitud;<br>2017;Oct - Dic;Directivas Distritales;Las Directivas Distritales estarán conformadas por un Presidente, un Vicepresidente y un Secretario, pudiendo, como máximo, replicar la composición de la Directiva Central. Serán elegidas cada dos años por los afiliados con domicilio electoral en cada distrito en votación universal, igualitaria y secreta, mediante listas cerradas de candidatos. En aquellas regiones compuestas por un solo distrito electoral no habrá Directiva Distrital y sus funciones serán ejercidas por la Directiva Regional. Son funciones de las Directivas Distritales: a) Conducir las actividades del partido en el distrito. b) Mantener constantemente informados a los afiliados de las distintas actividades que se desarrollen, así como de las resoluciones que tomen los órganos superiores. c) Contribuir a la formación política de los afiliados del distrito. d) Convocar a sesiones del Consejo Distrital a lo menos cuatro veces al año. e) Recibir solicitudes de afiliación a Amplitud y resolver sobre ellas y las que les remitan las Directivas Comunales. f) Rendir cuenta al Consejo Distrital y al Consejo Regional de sus labores, a lo menos una vez al año. g) Estudiar los problemas de interés del distrito y hacer llegar sus conclusiones a los órganos superiores del partido. h) Poner en conocimiento del Tribunal Supremo las contravenciones de los estatutos o de la declaración de principios de Amplitud. i) Contribuir a la expresión libre de los ciudadanos, al ejercicio de sus libertades y derechos políticos y a su formación cívica. j) Colaborar a requerimiento de las autoridades electas en las labores que éstas desarrollen. k) Las demás que les encomienden los estatutos, los reglamentos internos y los órganos superiores del partido.
PP033;Partido Amplitud;<br>2017;Oct - Dic;Consejos Distritales;Los Consejos Distritales estarán integrados por la Directiva Distrital, los Presidentes Comunales, los Senadores, Diputados y Consejeros Regionales elegidos por territorios que abarquen el distrito, los Alcaldes y Concejales de las comunas del distrito, siempre en todos esos casos que estén afiliados al Partido, y una cantidad de Consejeros Distritales elegidos cada dos años por los afiliados del distrito equivalente al dos por ciento del total de ellos, pero que en ningún caso podrán ser menos de dos. Serán presididos por los Presidentes Distritales. Son funciones de los Consejos Distritales: a) Fijar orientaciones generales a la Directiva Distrital. b) Pronunciarse sobre todos los asuntos que la Directiva Distrital someta a su consideración. c) Conocer las rendiciones de cuenta de las Directivas Comunales del distrito y de la Directiva Distrital. d) Completar y remitir al Consejo Regional las listas de postulantes a candidatos a Alcaldes y Concejales recibidas de los Consejos Comunales. e) Aprobar y remitir al Consejo Regional una lista de postulantes a candidatos a Diputados. f) Las demás que les encomienden los estatutos, los reglamentos internos y los órganos superiores del partido.
PP033;Partido Amplitud;<br>2017;Oct - Dic;Directivas Comunales;Las Directivas Comunales estarán conformadas por un Presidente, un Vicepresidente y un Secretario, pudiendo, como máximo, replicar la composición de la Directiva Central. Serán elegidas cada dos años por los afiliados con domicilio electoral en cada comuna en votación universal, igualitaria y secreta, mediante listas cerradas de candidatos. Son funciones de las Directivas Comunales: a) Conducir las actividades del partido en la comuna. b) Mantener constantemente informados a los afiliados de las distintas actividades que se desarrollen, así como de las resoluciones que tomen los órganos superiores. c) Contribuir a la formación política de los afiliados de la comuna. d) Convocar a las sesiones del Consejo Comunal a lo menos una vez al mes, sin perjuicio de la posibilidad de fijar un receso de un mes una vez al año. e) Recibir solicitudes de afiliación a Amplitud y someterlas a la consideración de la Directiva Distrital o, en caso de no existir ésta, de la Directiva Regional que corresponda. f) Rendir cuenta al Consejo Comunal y al Consejo Distrital de sus labores, a lo menos una vez al año. g) Estudiar los problemas de interés comunal y hacer llegar sus conclusiones a los órganos superiores del partido. h) Poner en conocimiento del Tribunal Supremo las contravenciones de los estatutos o de la declaración de principios de Amplitud. i) Contribuir a la expresión libre de los ciudadanos, al ejercicio de sus libertades y derechos políticos y a su formación cívica. j) Colaborar a requerimiento de las autoridades electas en las labores que éstas desarrollen; k) Las demás que les encomienden los estatutos, los reglamentos internos y los órganos superiores del partido.
PP033;Partido Amplitud;<br>2017;Oct - Dic;Consejos Comunales;Los Consejos Comunales estarán integrados por la Directiva Comunal, los Senadores, Diputados y Consejeros Regionales elegidos por territorios que abarquen a la comuna y el Alcalde y los Concejales de ésta, siempre en todos esos casos que estén afiliados a Amplitud, y una cantidad de Consejeros Comunales elegidos cada dos años por los afiliados de la comuna equivalente al dos por ciento del total de ellos, pero que en ningún caso podrán ser menos de dos. Serán presididos por los Presidentes Comunales. a) Fijar orientaciones generales a la Directiva Comunal. b) Pronunciarse sobre todos los asuntos que la Directiva Comunal someta a su consideración. c) Conocer las rendiciones de cuenta de la Directiva Comunal. d) Aprobar y remitir al Consejo Distrital, o al Consejo Regional en caso de no existir el anterior, una lista de postulantes a candidatos a Alcaldes y Concejales. e) Las demás que les encomienden los estatutos, los reglamentos internos y los órganos superiores del partido.
PP033;Partido Amplitud;<br>2017;Oct - Dic;División Ámbitos Temáticos;Existirá una División por Ámbitos Temáticos que comprenderá Comités cuyo cometido será abordar materias específicas y determinadas y asesorar acerca de ellas a la Directiva Central. Los Comités de Ámbitos Temáticos serán creados por decisión del Directiva Central o por acuerdo del Consejo General a propuesta de un treinta por ciento de sus integrantes.
PP034;Partido Federación Regionalista Verde Social (FREVS);2018;Oct-Dic;Directiva Central;Le corresponderá dirigir y ejecutar la política y estrategia del Partido de conformidad a los acuerdos y lineamientos aprobados por la Convención Nacional, cumplir y hacer que se cumplan dichos acuerdos y, en general, coordinar y dirigir la labor del Partido en todos sus ámbitos. Dirigirá el Partido conforme con su declaración de principios, programa y las definiciones políticas adoptadas por sus órganos internos. Administrará los bienes del Partido rindiendo balance anual de ellos ante la Convención Nacional. Propondrá al Tribunal Supremo la dictación de las instrucciones generales necesarias para la realización de los procesos electorales internos conforme a la ley y este estatuto. Propondrá a la Convención Nacional las modificaciones a la declaración de principios, nombre del partido, programa del partido, estatutos y reglamentos internos como así mismo las alianzas, pactos electorales, fusión con otro u otros partidos o disolución del partido. Convocará a las sesiones ordinarias o extraordinarias de la Convención Nacional. Propondrá a la Convención Nacional para análisis y propuestas los temas sobre políticas públicas considerados relevantes para el Partido y el país. Designará al Administrador General de Fondos del Partido, cuando corresponda. Pondrá en conocimiento del Tribunal Supremo las faltas a los estatutos y a la disciplina partidaria de que tenga conocimiento. Ejercerá además las demás funciones que el estatuto le confiera o que establezca la ley.
PP034;Partido Federación Regionalista Verde Social (FREVS);2018;Oct-Dic;Tribunal Supremo;Son atribuciones Tribunal Supremo: Interpretar los estatutos, reglamentos, declaración de principios y demás normas internas del partido. Conocer y resolver las cuestiones de competencia que se susciten entre autoridades u organismos del partido. Conocer de las reclamaciones que se entablen contra actos de autoridades u organismos del partido que sean estimados violatorios o vulneres los estatutos, reglamentos o la declaración de principios y adoptar las medidas necesarias para corregirlos y enmendar sus resultados. d) Conocer y resolver las denuncias que se formulen contra afiliados del partido, sean o no autoridades de él, por actos de indisciplina o violatorios de la declaración de principios o de los estatutos, o por conductas indebidas que constituyan faltas a la ética o comprometan los intereses o el prestigio del partido. e) Aplicar las medidas disciplinarias que los estatutos señalen contemplando las disposiciones que hagan efectivo un debido proceso. f) Controlar el correcto desarrollo de las elecciones y votaciones partidistas y dictar las instrucciones generales o particulares que para tal efecto correspondan . g) Calificar las elecciones y votaciones internas. h) Resolver como tribunal de segunda instancia, las apelaciones a los fallos de los Tribunales Regionales. i) Conocer de las reclamaciones por no inclusión en el Registro de Afiliados. j) Velar y garantizar el ejercicio de los derechos de los afiliados que este estatuto y la ley consagran.
PP034;Partido Federación Regionalista Verde Social (FREVS);2018;Oct-Dic;Convencionales Nacionales;Las Facultades, funciones y atribuciones de los consejeros regionales seran las siguientes: Modificaciones a la declaración de principios, reforma a los estatutos, disolución o fusión del partido, la aprobación de un pacto electoral en elecciones parlamentarias o su retiro del mismo, sobre la designación de la persona del candidato a la Presidencia de la República, y la nominación o apoyo de los candidatos a Senadores y Diputados, serán obligatoriamente bajo sufragio personal, secreto, libre e informado. Además, con excepción de la nominación o apoyo de candidatos al parlamento y elección del Tribunal Supremo, todos los acuerdos citados en este párrafo deben realizarse ante un ministro de fe designado legalmente. En su caso, la nominación de candidatos al parlamento, alcaldes, concejales o consejeros regionales lo será por ministerio de la ley de quien haya ganado la elección primaria pertinente.
PP034;Partido Federación Regionalista Verde Social (FREVS);2018;Oct-Dic;Consejeros Regionales;Son los máximos órganos deliberantes del Partido en las regiones. Participarán como invitados con derecho a voz los afiliados de la región que ejerzan cargos de elección popular. Los consejos regionales deberán ajustar su actuación a las normas, resoluciones y dirección de los órganos centrales del Partido y además estarán sujetos al control de los órganos jurisdiccionales del Partido. El Consejo Regional tendrá además la atribución de proponer a la Convención Nacional, para su nominación o apoyo, y en su caso, para integrar un pacto electoral, a afiliados o independientes como candidatos a senadores y diputados, alcaldes, concejales y consejeros regionales. En el caso de los candidatos a senadores, diputados o alcaldes, ello procederá solo en el caso de que éstos no hubieren sido elegidos en elecciones primarias conforme a las normas de la ley veinte mil seiscientos cuarenta.
PP034;Partido Federación Regionalista Verde Social (FREVS);2018;Oct-Dic;Directiva Regional;Corresponderá a las directivas regionales, provinciales y comunales en sus respectivos territorios, desarrollar la política y estrategia del Partido en conformidad a los acuerdos del consejo regional correspondiente, a las normas y resoluciones de la Convención Nacional y bajo la dirección de la Directiva Central. Los organismos funcionales del Partido deberán concordar las actividades que desarrollen a nivel territorial con las respectivas directivas regionales.
PP034;Partido Federación Regionalista Verde Social (FREVS);2018;Oct-Dic;Directiva Provincial;Corresponderá a las directivas regionales, provinciales y comunales en sus respectivos territorios, desarrollar la política y estrategia del Partido en conformidad a los acuerdos del consejo regional correspondiente, a las normas y resoluciones de la Convención Nacional y bajo la dirección de la Directiva Central. Los organismos funcionales del Partido deberán concordar las actividades que desarrollen a nivel territorial con las respectivas directivas regionales.
PP034;Partido Federación Regionalista Verde Social (FREVS);2018;Oct-Dic;Directiva Comunal;Corresponderá a las directivas regionales, provinciales y comunales en sus respectivos territorios, desarrollar la política y estrategia del Partido en conformidad a los acuerdos del consejo regional correspondiente, a las normas y resoluciones de la Convención Nacional y bajo la dirección de la Directiva Central. Los organismos funcionales del Partido deberán concordar las actividades que desarrollen a nivel territorial con las respectivas directivas regionales.
PP034;Partido Federación Regionalista Verde Social (FREVS);2018;Oct-Dic;Tribunales Regionales;En cada región habrá un Tribunal Regional que ejercerá como tribunal de primera instancia y en relación al ámbito regional de aquellas materias contempladas en las letras c,d,e,f y g del artículo treinta y dos del presente estatuto. En el ejercicio de sus atribuciones, podrá aplicar las siguientes sanciones: a) Amonestación, b) Censura por escrito, c) Suspensión o destitución del cargo que estuviere ejerciendo dentro de la organización interna del partido, d) Suspensión en el ejercicio de los derechos de afiliado por el plazo que determine, y e) La expulsión. Sus resoluciones serán apelables ante el Tribunal Supremo, dentro de quince días desde que fueren notificadas. Con todo si la sentencia definitiva dispone la expulsión de un afiliado, y de ella no se reclamare, se elevará en consulta al Tribunal Supremo.
PP034;Partido Federación Regionalista Verde Social (FREVS);2018;Jul-Sept;Directiva Central;Le corresponderá dirigir y ejecutar la política y estrategia del Partido de conformidad a los acuerdos y lineamientos aprobados por la Convención Nacional, cumplir y hacer que se cumplan dichos acuerdos y, en general, coordinar y dirigir la labor del Partido en todos sus ámbitos. Dirigirá el Partido conforme con su declaración de principios, programa y las definiciones políticas adoptadas por sus órganos internos. Administrará los bienes del Partido rindiendo balance anual de ellos ante la Convención Nacional. Propondrá al Tribunal Supremo la dictación de las instrucciones generales necesarias para la realización de los procesos electorales internos conforme a la ley y este estatuto. Propondrá a la Convención Nacional las modificaciones a la declaración de principios, nombre del partido, programa del partido, estatutos y reglamentos internos como así mismo las alianzas, pactos electorales, fusión con otro u otros partidos o disolución del partido. Convocará a las sesiones ordinarias o extraordinarias de la Convención Nacional. Propondrá a la Convención Nacional para análisis y propuestas los temas sobre políticas públicas considerados relevantes para el Partido y el país. Designará al Administrador General de Fondos del Partido, cuando corresponda. Pondrá en conocimiento del Tribunal Supremo las faltas a los estatutos y a la disciplina partidaria de que tenga conocimiento. Ejercerá además las demás funciones que el estatuto le confiera o que establezca la ley.
PP034;Partido Federación Regionalista Verde Social (FREVS);2018;Jul-Sept;Tribunal Supremo;Son atribuciones Tribunal Supremo: Interpretar los estatutos, reglamentos, declaración de principios y demás normas internas del partido. Conocer y resolver las cuestiones de competencia que se susciten entre autoridades u organismos del partido. Conocer de las reclamaciones que se entablen contra actos de autoridades u organismos del partido que sean estimados violatorios o vulneres los estatutos, reglamentos o la declaración de principios y adoptar las medidas necesarias para corregirlos y enmendar sus resultados. d) Conocer y resolver las denuncias que se formulen contra afiliados del partido, sean o no autoridades de él, por actos de indisciplina o violatorios de la declaración de principios o de los estatutos, o por conductas indebidas que constituyan faltas a la ética o comprometan los intereses o el prestigio del partido. e) Aplicar las medidas disciplinarias que los estatutos señalen contemplando las disposiciones que hagan efectivo un debido proceso. f) Controlar el correcto desarrollo de las elecciones y votaciones partidistas y dictar las instrucciones generales o particulares que para tal efecto correspondan . g) Calificar las elecciones y votaciones internas. h) Resolver como tribunal de segunda instancia, las apelaciones a los fallos de los Tribunales Regionales. i) Conocer de las reclamaciones por no inclusión en el Registro de Afiliados. j) Velar y garantizar el ejercicio de los derechos de los afiliados que este estatuto y la ley consagran.
PP034;Partido Federación Regionalista Verde Social (FREVS);2018;Jul-Sept;Convencionales Nacionales;Las Facultades, funciones y atribuciones de los consejeros regionales seran las siguientes: Modificaciones a la declaración de principios, reforma a los estatutos, disolución o fusión del partido, la aprobación de un pacto electoral en elecciones parlamentarias o su retiro del mismo, sobre la designación de la persona del candidato a la Presidencia de la República, y la nominación o apoyo de los candidatos a Senadores y Diputados, serán obligatoriamente bajo sufragio personal, secreto, libre e informado. Además, con excepción de la nominación o apoyo de candidatos al parlamento y elección del Tribunal Supremo, todos los acuerdos citados en este párrafo deben realizarse ante un ministro de fe designado legalmente. En su caso, la nominación de candidatos al parlamento, alcaldes, concejales o consejeros regionales lo será por ministerio de la ley de quien haya ganado la elección primaria pertinente.
PP034;Partido Federación Regionalista Verde Social (FREVS);2018;Jul-Sept;Consejeros Regionales;Son los máximos órganos deliberantes del Partido en las regiones. Participarán como invitados con derecho a voz los afiliados de la región que ejerzan cargos de elección popular. Los consejos regionales deberán ajustar su actuación a las normas, resoluciones y dirección de los órganos centrales del Partido y además estarán sujetos al control de los órganos jurisdiccionales del Partido. El Consejo Regional tendrá además la atribución de proponer a la Convención Nacional, para su nominación o apoyo, y en su caso, para integrar un pacto electoral, a afiliados o independientes como candidatos a senadores y diputados, alcaldes, concejales y consejeros regionales. En el caso de los candidatos a senadores, diputados o alcaldes, ello procederá solo en el caso de que éstos no hubieren sido elegidos en elecciones primarias conforme a las normas de la ley veinte mil seiscientos cuarenta.
