Código del organismo;Nombre del organismo;Año informado;Trimestre informado;Nombre del Pacto;Partidos que lo conforman;Tipo o carácter del pacto;Año de elecciones
PP039;Partido Igualdad ](PI);2017;Jul - Sep;Frente Amplio;Partido Igualdad, Partido Humanista, Partido Ecologista Verde, Partido Revolución Democrática, Partido Poder;Presidencial;2017
PP039;Partido Igualdad ](PI);2017;Oct - Dic;Igualdad para los Pueblos;Partido Igualdad + Independientes;Consejeros Regionales;2017
PP039;Partido Igualdad ](PI);2017;Oct - Dic;Frente Amplio;Partido Igualdad, Partido Humanista, Partido Ecologista Verde, Partido Revolución Democrática, Partido Poder;Parlamentario;2017
PP039;Partido Igualdad ](PI);2017;Oct - Dic;Frente Amplio;Partido Igualdad, Partido Humanista, Partido Ecologista Verde, Partido Revolución Democrática, Partido Poder;Presidencial;2017
PP039;Partido Igualdad ](PI);2018;Ene - Mar;No existen pactos vigentes para el presente periodo;-;-;-
PP039;Partido Igualdad ](PI);2018;Abr - Jun;No existen pactos vigentes para el presente periodo;-;-;-
PP039;Partido Igualdad ](PI);2018;Jul - Sep;No existen pactos vigentes para el presente periodo;-;-;-
PP039;Partido Igualdad ](PI);2018;Oct - Dic;No existen pactos vigentes para el presente periodo;-;-;-
PP039;Partido Igualdad ](PI);2019;Ene - Mar;No existen pactos vigentes para el presente periodo;-;-;-
PP039;Partido Igualdad ](PI);2019;Abr - Jun;No existen pactos vigentes para el presente periodo;-;-;-
PP040;Partido Izquierda Ciudadana;2017;Oct - Dic;Convergencia Democrática;Partidos Demócrata Cristiano, MAS REGIÓN, Partido Izquierda ciudadana de Chile, Independientes;Elección de CORE, Diputados y Senadores;2017
PP040;Partido Izquierda Ciudadana;2017;Oct - Dic;Convergencia Democratica;Partidos Democrata Cristiano, MAS Región, Partido Izquierda Ciudadana de Chile, Independientes;Elección de Senadores y Diputados;2017
PP040;Partido Izquierda Ciudadana;2017;Oct - Dic;Por un Chile Justo y Descentralizado;Radical, Comunista de Chile, MAS-Región, Por la democracia, Izquierda Ciudadana de Chile;Elección de Consejeros Regionales;2017
PP046;Partido Pais;2017;Jul - Sep;Por Todo Chile;Partido País y Partido Progresista;Elección Senadores, Diputados y Consejeros Regionales;2017
PP046;Partido Pais;2017;Jul - Sep;Por Todo Chile;Partido País y Partido Progresista;Elección Senadores, Diputados y Consejeros Regionales;2017
PP046;Partido Pais;2017;Oct - Dic;Por Todo Chile;Partido País y Partido Progresista;Elección Senadores, Diputados y Consejeros Regionales;2017
PP054;Partido Regionalista Independiente Demócrata (PRID);2017;Jul - Sep;Pacto Chile Vamos;Union Democrata Independiente, Evolución Política, Partido Regionalista de los Independientes, Renovación Nacional;Elección Primaria Presidencial;2017
PP054;Partido Regionalista Independiente Demócrata (PRID);2017;Oct - Dic;Pacto Chile Vamos;Union Democrata Independiente, Evolución Política, Partido Regionalista de los Independientes, Renovación Nacional;Elección Presidencial;2017
PP054;Partido Regionalista Independiente Demócrata (PRID);2017;Oct - Dic;Pacto Chile Vamos;Union Democrata Independiente, Evolución Política, Partido Regionalista de los Independientes, Renovación Nacional;Elección Parlamentaria;2017
PP054;Partido Regionalista Independiente Demócrata (PRID);2017;Oct - Dic;Pacto Chile Vamos - UDI -PRI - Independientes;Union Democrata Independiente, Partido Regionalista de los Independientes;Elección Consejeros Regionales;2017
